Tile/Artist,Price,Is_On_Sale,Vinyl_Cover
Miles Davis – Miles In The Sky,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/02/R-66849-1509906125-2345-300x300.jpg
Rod Stewart – Foot Loose & Fancy Free,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/02/rod-300x300.jpg
Pink Floyd – A Nice Pair,87 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/PINK-FLOYD1-copy-300x300.jpg
Uriah Heep – Salisbury,84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/uriahheep-300x300.jpg
Rolling Stones – Play With Fire,38 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/rolling-stones-300x300.jpg
Elton John – Ice On Fire (Inc. Nikita),42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/04/R-335423-1518096684-6588.jpeg-300x300.jpg
Rose Royce – In Full Bloom,42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/rose-royce-300x300.jpg
Louis Armstrong – Louis Armstrong (USSR),35 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/11/louis-armstrong-300x300.jpg
Beverly Hills Cop (Music From The Motion Picture Soundtrack),52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/beverly-300x300.jpg
Barbra Streisand – Barbra Streisand’s Greatest Hits,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/barbara-streisand-1-300x300.jpg
Aquarium – Equinox,35 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/akvarium-300x300.jpg
"ავქსენტი ცაგარელი, გია ყანჩელი – სპექტაკლი ხანუმა",56 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/07/ხანუმა-300x300.jpg
Creedence Clearwater Revival – Traveling Band,31 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-6001122-1408485623-7358-300x300.jpg
Master – Master,21 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/03/R-2793507-1357315864-3390-300x300.jpg
David Sanborn – Hideaway,49 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/david-300x300.jpg
Diana Ross – 20 Golden Greats,52 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/01/diana-ross-300x300.jpg
Stevie Wonder – In Square Circle,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/04/in-square-circle-300x300.jpg
ორერა – ძველ თბილისში,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/06/ორერა-5-300x300.jpg
Smokie – Greatest Hits,42 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/02/smokie-greatest-300x300.jpg
Jimmy Cliff – Unlimited,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2024/01/R-4452058-1365262836-8419-300x300.jpg
Shakatak ‎– Drivin Hard,45 GEL,Yes,https://vinyl.ge/wp-content/uploads/2021/06/Shakatak-Drivin-Hard-4-300x300.jpg
Miles Davis – Miles Davis At Fillmore,105 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/12/miles-davis-3-300x300.jpg
კოლხიდა – კოლხიდა (Exclusive),84 GEL,Yes,https://vinyl.ge/wp-content/uploads/2023/08/კოლხიდა-300x300.jpg
